Class,Script
Loans,點樣決定貸款額
Loans,有咩唔同還款方式比我揀
Loans,借貸期啫係咩意思同埋幾長先適合
Loans,申請貸款要交啲咩文件
Loans,每個月平息係咩意思
Loans,點解唔同既貸款有唔同利率
Loans,點樣增加貸款既利率
Loans,年利率係咩意思
Loans,貸款有啲費用要留意
Loans,提早償還手續費啫係點
Loans,你地有啲咩方法比我償還貸款
Loans,如果我想貸款係唔係一定要去分行
Loans,有冇得延遲還款日期
Loans,提早還清債務可唔可以減少啲利息
Loans,可唔可以更改還款日期嚟避免延遲還款訊息
Loans,我可唔可以揀多過12個月的延遲還本金既安排嗎
Loans,大概幾耐先知會當我係遲還本金
Loans,可唔可以更改總還款期
Loans,我收到sms叫我交貸款證明文件想問下可以點樣遞交我啲文件
Loans,計畫利息點樣計算
Loans,我可以點樣查詢貸款批核進度
Loans,收到SMS係咪代表我既貸款已經過左審核
Loans,點樣計算每個月供款額
Loans,我可以點樣改申請貸款既個人資料
Loans,我可唔可以取消之前提交既借貸申請
Loans,如果我係銀行既個人地址唔準確可以點樣改翻我既住址
Loans,如果我係銀行既個人聯絡方法唔準確可以點樣改翻我既個人資料
Loans,我係失業之前冇用過自動轉賬支薪服務我的申請會唔會被拒絕
Loans,係網上申請借錢會點樣處理
Loans,有冇得分期拎貸款
Loans,點樣選擇放款人
Loans,貸款年費點樣計法
Loans,我冇係銀行開戶口可唔可以照申請貸款
Credit card,唔該 我想問問關於你地最新嗰個張信用卡個飛行里數plan呀
Credit card,點解我準時找咗卡數都會有extra charge
Credit card,我唔見咗張信用卡可以點做
Credit card,我收到message話我碌咗兩次卡但我無碌過喎
Credit card,我想幫我小朋友開張附屬卡
Credit card,我想取消張附屬卡
Credit card,我想問張卡嘅積分有咩用
Credit card,我想更加個人資料
Credit card,想問大學生信用卡有冇得申請個額大啲
Credit card,想問有冇得申請特殊情況嘅延期還款
Credit card,我張信用卡連唔到上apple pay
Credit card,想問海外簽帳會有咩特別
Credit card,我想更改個人地址
Credit card,我飛行里數計少咗喎
Credit card,我明明仲有足夠餘額但碌唔到卡
Credit card,我買野退咗貨想問退款安排係點
Credit card,唔該我想取消張信用卡
Credit card,請問附屬卡點限額
Credit card,我想了解翻信用卡附加費用點計
Credit card,我想申請一張附屬卡要交咩文件
Promotion Campaign,想問下今季最新優惠係點樣計算
Promotion Campaign,今季既禮遇我應該高一個等級
Promotion Campaign,唔知點解我收唔到今季既禮遇
Promotion Campaign,開戶優惠收少左唔知點解
Promotion Campaign,我新開個戶口想升級帳戶有啲咩優惠
Promotion Campaign,新投資者有冇咩優惠
Promotion Campaign,升級帳戶達到啲咩門纜先有升級優惠
Promotion Campaign,成功簽帳幾多錢可以有回蹭優惠
Promotion Campaign,豁免年費係唔係全年生效
Promotion Campaign,想問下我啲回贈幾時先會收到
Promotion Campaign,商戶禮遇幾時可以用到
Promotion Campaign,如果我係其他銀行轉帳過嚟開戶會唔會有優惠
Promotion Campaign,人壽保險今期最新優惠要點先可以換到
Promotion Campaign,理財戶口既條款唔係好睇得明
Promotion Campaign,可唔可以係網上開戶口
Promotion Campaign,我係網上開左戶口但係收唔到網上開戶優惠
Promotion Campaign,想換禮卷可以去邊到換
Promotion Campaign,想睇下我有冇得將戶口升級
Promotion Campaign,想問呢我點先有資格去攞啲禮遇
Promotion Campaign,有冇資料可以睇到全部優惠
Account Balance,我想問點解我銀行acc無啦啦扣咗錢架
Account Balance,定存期款會唔會計落戶口擁有資金
